Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,James.B,2022.04.04 18:27:34 EDT,5784,VPN,0,1,172.22.228.90,10.128.20.109,UDP,1194,93752856,
openvpn-server,Lauren.P,2022.04.04 18:57:40 EDT,7138,VPN,0,1,172.31.208.10,10.128.20.108,UDP,1194,140725670,
openvpn-server,Jonathan.N,2022.04.05 07:06:52 EDT,,VPN,0,0,172.26.164.15,,UDP,1194,,user not found
openvpn-server,Aaron.O,2022.04.05 07:21:54 EDT,16706,VPN,0,1,172.23.192.107,10.128.20.218,UDP,1194,398337864,
openvpn-server,Teresa.R,2022.04.05 07:42:31 EDT,2522,VPN,0,1,172.29.199.109,10.128.20.250,UDP,1194,500367322,
openvpn-server,Brenda.L,2022.04.05 08:12:31 EDT,5197,VPN,0,1,172.24.85.90,10.128.20.189,UDP,1194,649224831,
openvpn-server,Hannah.K,2022.04.05 08:26:58 EDT,17436,VPN,0,1,172.25.3.193,10.128.20.225,UDP,1194,1470238392,
openvpn-server,Albert.X,2022.04.05 08:41:12 EDT,4073,VPN,0,1,172.17.24.31,10.128.20.69,UDP,1194,1126001215,
openvpn-server,Teresa.R,2022.04.05 08:58:13 EDT,10701,VPN,0,1,172.18.179.20,10.128.20.162,UDP,1194,895341969,
openvpn-server,Lauren.P,2022.04.05 09:20:58 EDT,13899,VPN,0,1,172.17.178.29,10.128.20.112,UDP,1194,2187202236,
openvpn-server,David.Y,2022.04.05 09:44:12 EDT,,VPN,0,0,172.22.2.215,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Justin.G,2022.04.05 10:21:48 EDT,,VPN,0,0,172.27.2.227,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Raymond.M,2022.04.05 11:00:53 EDT,2195,VPN,0,1,172.17.137.155,10.128.20.165,UDP,1194,329197320,
openvpn-server,Justin.G,2022.04.05 11:25:41 EDT,3574,VPN,0,1,172.28.32.48,10.128.20.123,UDP,1194,910765994,
openvpn-server,Anthony.E,2022.04.05 11:42:54 EDT,12152,VPN,0,1,172.23.127.245,10.128.20.88,UDP,1194,2548918456,
openvpn-server,Raymond.M,2022.04.05 12:12:34 EDT,3307,VPN,0,1,172.27.227.36,10.128.20.81,UDP,1194,756472943,
openvpn-server,Albert.X,2022.04.05 12:41:38 EDT,4032,VPN,0,1,172.16.110.2,10.128.20.77,UDP,1194,749218176,
openvpn-server,James.B,2022.04.05 13:20:52 EDT,7157,VPN,0,1,172.29.249.18,10.128.20.237,UDP,1194,1641314810,
openvpn-server,Teresa.R,2022.04.05 13:31:11 EDT,2195,VPN,0,1,172.23.95.180,10.128.20.18,UDP,1194,218139100,
openvpn-server,Albert.X,2022.04.05 14:03:40 EDT,9197,VPN,0,1,172.18.200.50,10.128.20.205,UDP,1194,2361927555,
openvpn-server,Jonathan.G,2022.04.05 14:26:22 EDT,10778,VPN,0,1,172.30.93.19,10.128.20.32,UDP,1194,142107930,
openvpn-server,Lauren.P,2022.04.05 14:40:24 EDT,13350,VPN,0,1,172.25.48.154,10.128.20.95,UDP,1194,2149163100,
openvpn-server,Scott.H,2022.04.05 15:13:01 EDT,9414,VPN,0,1,172.30.177.157,10.128.20.186,UDP,1194,677007810,
openvpn-server,Alexis.U,2022.04.05 15:30:45 EDT,7638,VPN,0,1,172.27.144.217,10.128.20.172,UDP,1194,1820509662,
openvpn-server,David.Y,2022.04.05 16:06:12 EDT,5995,VPN,0,1,172.31.158.11,10.128.20.217,UDP,1194,900496960,
openvpn-server,Anthony.E,2022.04.05 16:16:25 EDT,8494,VPN,0,1,172.21.54.67,10.128.20.125,UDP,1194,1848914462,
openvpn-server,Teresa.R,2022.04.05 16:38:11 EDT,1089,VPN,0,1,172.19.177.39,10.128.20.71,UDP,1194,15159969,
openvpn-server,James.B,2022.04.05 16:53:20 EDT,5095,VPN,0,1,172.24.245.192,10.128.20.132,UDP,1194,55632305,
openvpn-server,Charles.G,2022.04.05 17:23:12 EDT,7689,VPN,0,1,172.25.62.44,10.128.20.241,UDP,1194,1217445504,
openvpn-server,Justin.G,2022.04.05 17:37:19 EDT,639,VPN,0,1,172.29.2.37,10.128.20.50,UDP,1194,160328295,
openvpn-server,Abigail.D,2022.04.05 17:54:14 EDT,,VPN,0,0,172.24.168.140,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Gregory.B,2022.04.05 18:22:31 EDT,6445,VPN,0,1,172.28.168.139,10.128.20.8,UDP,1194,27462145,
openvpn-server,Helen.X,2022.04.05 18:40:06 EDT,,VPN,0,0,172.21.72.29,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Gregory.B,2022.04.06 07:06:59 EDT,13153,VPN,0,1,172.24.138.180,10.128.20.99,UDP,1194,3432735705,
openvpn-server,David.Y,2022.04.06 07:18:51 EDT,12962,VPN,0,1,172.22.249.178,10.128.20.17,UDP,1194,1653821580,
openvpn-server,Sara.Q,2022.04.06 07:46:47 EDT,18071,VPN,0,1,172.22.238.112,10.128.20.234,UDP,1194,3842274091,
openvpn-server,Scott.H,2022.04.06 08:10:15 EDT,7090,VPN,0,1,172.27.58.109,10.128.20.58,UDP,1194,374167660,
openvpn-server,Abigail.D,2022.04.06 08:44:52 EDT,8976,VPN,0,1,172.21.142.56,10.128.20.143,UDP,1194,865062000,
openvpn-server,Stephen.M,2022.04.06 09:20:47 EDT,35717,VPN,0,1,172.27.73.79,10.128.20.196,UDP,1194,5387659431,
openvpn-server,Teresa.R,2022.04.06 09:43:07 EDT,22966,VPN,0,1,172.22.109.85,10.128.20.40,UDP,1194,3155160944,
openvpn-server,Lauren.P,2022.04.06 10:08:21 EDT,16757,VPN,0,1,172.20.221.46,10.128.20.62,UDP,1194,1161176315,
openvpn-server,Anthony.E,2022.04.06 10:23:29 EDT,6054,VPN,0,1,172.20.36.40,10.128.20.134,UDP,1194,1229973018,
openvpn-server,Jean.W,2022.04.06 11:00:42 EDT,,VPN,0,0,172.20.35.18,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Hannah.K,2022.04.06 11:12:05 EDT,3447,VPN,0,1,172.17.66.128,10.128.20.200,UDP,1194,603504207,
openvpn-server,Grace.W,2022.04.06 11:24:18 EDT,28055,VPN,0,1,172.20.131.91,10.128.20.57,UDP,1194,1612517235,
openvpn-server,Logan.K,2022.04.06 11:54:41 EDT,5225,VPN,0,1,172.21.144.37,10.128.20.72,UDP,1194,1207063825,
openvpn-server,James.B,2022.04.06 12:23:34 EDT,7120,VPN,0,1,172.28.197.198,10.128.20.96,UDP,1194,1381757040,
openvpn-server,Justin.G,2022.04.06 12:55:57 EDT,10409,VPN,0,1,172.22.147.187,10.128.20.210,UDP,1194,2150405719,
openvpn-server,Jean.W,2022.04.06 13:23:02 EDT,1881,VPN,0,1,172.17.99.6,10.128.20.76,UDP,1194,202557366,
openvpn-server,Jonathan.G,2022.04.06 13:40:36 EDT,14411,VPN,0,1,172.24.243.240,10.128.20.227,UDP,1194,2843708219,
openvpn-server,Diana.Y,2022.04.06 13:52:37 EDT,6009,VPN,0,1,172.28.201.74,10.128.20.4,UDP,1194,183791274,
openvpn-server,Aaron.O,2022.04.06 14:19:16 EDT,13932,VPN,0,1,172.30.148.71,10.128.20.38,UDP,1194,1108499580,
openvpn-server,Anthony.E,2022.04.06 14:36:55 EDT,13973,VPN,0,1,172.18.150.251,10.128.20.110,UDP,1194,3271498490,
openvpn-server,Raymond.M,2022.04.06 14:56:08 EDT,13968,VPN,0,1,172.23.56.39,10.128.20.157,UDP,1194,1692083520,
openvpn-server,David.Y,2022.04.06 15:34:45 EDT,2818,VPN,0,1,172.29.235.120,10.128.20.175,UDP,1194,270587178,
openvpn-server,Justin.G,2022.04.06 15:54:11 EDT,3628,VPN,0,1,172.26.190.26,10.128.20.36,UDP,1194,869196240,
openvpn-server,Brenda.L,2022.04.06 16:18:25 EDT,,VPN,0,0,172.22.130.223,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Teresa.R,2022.04.06 16:45:40 EDT,4009,VPN,0,1,172.20.221.31,10.128.20.151,UDP,1194,308095659,
openvpn-server,Helen.X,2022.04.06 17:14:33 EDT,6164,VPN,0,1,172.16.134.38,10.128.20.100,UDP,1194,1478860716,
openvpn-server,Jean.W,2022.04.06 17:42:01 EDT,2943,VPN,0,1,172.24.90.85,10.128.20.179,UDP,1194,588011400,
openvpn-server,Justin.G,2022.04.06 18:09:51 EDT,7601,VPN,0,1,172.17.83.135,10.128.20.55,UDP,1194,1093571072,
openvpn-server,Brenda.L,2022.04.06 18:31:55 EDT,6228,VPN,0,1,172.19.242.55,10.128.20.149,UDP,1194,1240312428,
openvpn-server,Diana.Y,2022.04.06 18:49:03 EDT,6344,VPN,0,1,172.26.218.138,10.128.20.201,UDP,1194,562237000,
openvpn-server,Albert.X,2022.04.07 07:26:28 EDT,,VPN,0,0,172.23.118.39,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Logan.K,2022.04.07 07:53:39 EDT,,VPN,0,0,172.31.166.235,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Scott.H,2022.04.07 08:25:37 EDT,36947,VPN,0,1,172.21.127.193,10.128.20.119,UDP,1194,6732482340,
openvpn-server,Charles.G,2022.04.07 08:44:49 EDT,35929,VPN,0,1,172.30.251.52,10.128.20.16,UDP,1194,1718304425,
openvpn-server,David.Y,2022.04.07 09:04:25 EDT,13358,VPN,0,1,172.24.208.82,10.128.20.171,UDP,1194,3110650744,
openvpn-server,Abigail.D,2022.04.07 09:28:29 EDT,11049,VPN,0,1,172.20.174.248,10.128.20.204,UDP,1194,125450346,
openvpn-server,James.B,2022.04.07 09:51:28 EDT,2090,VPN,0,1,172.28.87.181,10.128.20.237,UDP,1194,428868000,
openvpn-server,Helen.X,2022.04.07 10:16:43 EDT,3961,VPN,0,1,172.27.225.185,10.128.20.232,UDP,1194,171325133,
openvpn-server,Justin.G,2022.04.07 10:51:40 EDT,15774,VPN,0,1,172.24.88.81,10.128.20.89,UDP,1194,3362622450,
openvpn-server,Aaron.O,2022.04.07 11:31:09 EDT,19589,VPN,0,1,172.26.88.178,10.128.20.124,UDP,1194,1083937726,
openvpn-server,Anthony.E,2022.04.07 12:09:29 EDT,21614,VPN,0,1,172.21.114.164,10.128.20.241,UDP,1194,3044958706,
openvpn-server,Hannah.K,2022.04.07 12:20:56 EDT,10099,VPN,0,1,172.24.57.99,10.128.20.168,UDP,1194,1261900347,
openvpn-server,Albert.X,2022.04.07 12:32:17 EDT,19351,VPN,0,1,172.28.196.220,10.128.20.121,UDP,1194,2447707990,
openvpn-server,Stephen.M,2022.04.07 12:59:56 EDT,24285,VPN,0,1,172.31.247.95,10.128.20.204,UDP,1194,4302379170,
openvpn-server,David.Y,2022.04.07 13:23:36 EDT,18379,VPN,0,1,172.17.86.90,10.128.20.118,UDP,1194,4713919436,
openvpn-server,Jean.W,2022.04.07 13:36:02 EDT,21353,VPN,0,1,172.22.192.122,10.128.20.215,UDP,1194,2720265435,
openvpn-server,James.B,2022.04.07 13:55:10 EDT,15290,VPN,0,1,172.29.65.11,10.128.20.39,UDP,1194,1280017640,
openvpn-server,Gregory.B,2022.04.07 14:16:47 EDT,16847,VPN,0,1,172.27.223.187,10.128.20.105,UDP,1194,3470515694,
openvpn-server,Raymond.M,2022.04.07 14:26:50 EDT,16177,VPN,0,1,172.20.117.9,10.128.20.74,UDP,1194,909001807,
openvpn-server,Teresa.R,2022.04.07 14:57:31 EDT,17444,VPN,0,1,172.28.231.40,10.128.20.103,UDP,1194,2744133084,
openvpn-server,Alexis.U,2022.04.07 15:32:42 EDT,7909,VPN,0,1,172.16.69.3,10.128.20.208,UDP,1194,1623947061,
openvpn-server,Abigail.D,2022.04.07 15:43:41 EDT,10697,VPN,0,1,172.29.186.208,10.128.20.238,UDP,1194,2084567178,
openvpn-server,Jonathan.G,2022.04.07 15:59:03 EDT,5493,VPN,0,1,172.19.83.27,10.128.20.41,UDP,1194,1258210101,
openvpn-server,Justin.G,2022.04.07 16:13:36 EDT,9658,VPN,0,1,172.19.193.97,10.128.20.109,UDP,1194,2254544204,
openvpn-server,Lauren.P,2022.04.07 16:48:29 EDT,4778,VPN,0,1,172.30.134.8,10.128.20.134,UDP,1194,257548534,
openvpn-server,Hannah.K,2022.04.07 17:14:28 EDT,2744,VPN,0,1,172.20.17.119,10.128.20.23,UDP,1194,236187056,
openvpn-server,Grace.W,2022.04.07 17:26:17 EDT,7793,VPN,0,1,172.18.68.36,10.128.20.166,UDP,1194,1928455780,
openvpn-server,Albert.X,2022.04.07 18:02:36 EDT,7567,VPN,0,1,172.26.213.76,10.128.20.92,UDP,1194,288491875,
openvpn-server,Logan.K,2022.04.07 18:26:05 EDT,5333,VPN,0,1,172.26.190.184,10.128.20.120,UDP,1194,189737474,
openvpn-server,Sara.Q,2022.04.07 18:51:31 EDT,,VPN,0,0,172.25.85.244,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Anthony.E,2022.04.08 07:12:27 EDT,6765,VPN,0,1,172.21.200.249,10.128.20.234,UDP,1194,643682985,
openvpn-server,Gregory.B,2022.04.08 07:43:59 EDT,,VPN,0,0,172.19.65.213,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Albert.X,2022.04.08 08:08:10 EDT,24773,VPN,0,1,172.21.21.83,10.128.20.3,UDP,1194,4755301215,
openvpn-server,James.B,2022.04.08 08:44:33 EDT,6454,VPN,0,1,172.16.123.184,10.128.20.179,UDP,1194,1250146254,
openvpn-server,Helen.X,2022.04.08 08:55:23 EDT,12688,VPN,0,1,172.28.138.142,10.128.20.17,UDP,1194,3523153088,
openvpn-server,Gregory.B,2022.04.08 09:15:16 EDT,15247,VPN,0,1,172.22.13.180,10.128.20.253,UDP,1194,109869882,
openvpn-server,Justin.G,2022.04.08 09:35:03 EDT,14693,VPN,0,1,172.25.147.187,10.128.20.100,UDP,1194,165310943,
openvpn-server,Raymond.M,2022.04.08 09:49:54 EDT,10374,VPN,0,1,172.27.202.131,10.128.20.128,UDP,1194,862411368,
openvpn-server,Abigail.D,2022.04.08 10:01:48 EDT,32300,VPN,0,1,172.21.205.221,10.128.20.250,UDP,1194,4598001900,
openvpn-server,Grace.W,2022.04.08 10:29:35 EDT,3752,VPN,0,1,172.28.168.93,10.128.20.206,UDP,1194,297297224,
openvpn-server,James.B,2022.04.08 11:05:50 EDT,17746,VPN,0,1,172.19.181.121,10.128.20.60,UDP,1194,1417284290,
openvpn-server,Brenda.L,2022.04.08 11:34:09 EDT,17315,VPN,0,1,172.29.19.187,10.128.20.205,UDP,1194,3100804830,
openvpn-server,Anthony.E,2022.04.08 11:49:28 EDT,7366,VPN,0,1,172.16.248.187,10.128.20.149,UDP,1194,1514552724,
openvpn-server,Grace.W,2022.04.08 12:03:08 EDT,14018,VPN,0,1,172.24.162.4,10.128.20.65,UDP,1194,2398746142,
openvpn-server,Aaron.O,2022.04.08 12:27:34 EDT,23626,VPN,0,1,172.26.17.183,10.128.20.140,UDP,1194,2921331274,
openvpn-server,Hannah.K,2022.04.08 13:04:19 EDT,13592,VPN,0,1,172.19.20.12,10.128.20.23,UDP,1194,709230560,
openvpn-server,Logan.K,2022.04.08 13:23:58 EDT,,VPN,0,0,172.26.78.78,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Gregory.B,2022.04.08 13:57:59 EDT,7161,VPN,0,1,172.17.189.225,10.128.20.147,UDP,1194,54667074,
openvpn-server,Grace.T,2022.04.08 14:37:45 EDT,,VPN,0,0,172.25.82.209,,UDP,1194,,user not found
openvpn-server,Marilyn.K,2022.04.08 15:01:11 EDT,,VPN,0,0,172.19.105.98,,UDP,1194,,user not found
openvpn-server,Jean.W,2022.04.08 15:39:46 EDT,2439,VPN,0,1,172.29.197.189,10.128.20.2,UDP,1194,516882636,
openvpn-server,Albert.X,2022.04.08 16:01:56 EDT,10191,VPN,0,1,172.27.124.110,10.128.20.142,UDP,1194,409515144,
openvpn-server,James.B,2022.04.08 16:29:14 EDT,9384,VPN,0,1,172.19.184.64,10.128.20.68,UDP,1194,2394824952,
openvpn-server,Richard.R,2022.04.08 16:58:32 EDT,7436,VPN,0,1,172.21.149.26,10.128.20.4,UDP,1194,1932371012,
openvpn-server,Jean.W,2022.04.08 17:11:45 EDT,2688,VPN,0,1,172.27.53.68,10.128.20.11,UDP,1194,209819904,
openvpn-server,Scott.H,2022.04.08 17:30:07 EDT,,VPN,0,0,172.31.9.239,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Gregory.B,2022.04.08 17:58:12 EDT,2999,VPN,0,1,172.29.153.159,10.128.20.166,UDP,1194,517474451,
openvpn-server,Charles.G,2022.04.08 18:19:20 EDT,4554,VPN,0,1,172.30.157.56,10.128.20.93,UDP,1194,1158391872,
openvpn-server,Jean.W,2022.04.08 18:56:55 EDT,4940,VPN,0,1,172.31.18.5,10.128.20.139,UDP,1194,88174060,
openvpn-server,Lauren.P,2022.04.09 07:13:02 EDT,13237,VPN,0,1,172.28.130.100,10.128.20.112,UDP,1194,1205625960,
openvpn-server,Richard.R,2022.04.09 07:31:55 EDT,,VPN,0,0,172.16.110.150,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Raymond.M,2022.04.09 08:02:49 EDT,18944,VPN,0,1,172.20.48.231,10.128.20.20,UDP,1194,3962345984,
openvpn-server,Aaron.O,2022.04.09 08:29:12 EDT,,VPN,0,0,172.16.22.165,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Aaron.O,2022.04.09 08:41:46 EDT,11393,VPN,0,1,172.29.215.156,10.128.20.124,UDP,1194,545804451,
openvpn-server,James.B,2022.04.09 08:57:58 EDT,35586,VPN,0,1,172.28.223.89,10.128.20.186,UDP,1194,4830799500,
openvpn-server,Diana.Y,2022.04.09 09:10:48 EDT,30728,VPN,0,1,172.25.243.143,10.128.20.82,UDP,1194,499237816,
openvpn-server,Ruth.T,2022.04.09 09:50:04 EDT,,VPN,0,0,172.28.47.218,,UDP,1194,,user not found
openvpn-server,Richard.R,2022.04.09 10:09:58 EDT,5475,VPN,0,1,172.29.115.215,10.128.20.196,UDP,1194,195205650,
openvpn-server,Sara.Q,2022.04.09 10:44:22 EDT,29881,VPN,0,1,172.17.249.181,10.128.20.180,UDP,1194,8083348358,
openvpn-server,Albert.X,2022.04.09 11:24:14 EDT,14831,VPN,0,1,172.28.211.59,10.128.20.46,UDP,1194,3583362403,
openvpn-server,Alexis.U,2022.04.09 11:46:51 EDT,13718,VPN,0,1,172.17.7.58,10.128.20.143,UDP,1194,2749416432,
openvpn-server,David.Y,2022.04.09 12:03:11 EDT,1784,VPN,0,1,172.24.188.44,10.128.20.122,UDP,1194,485990144,
openvpn-server,Abigail.D,2022.04.09 12:35:24 EDT,7834,VPN,0,1,172.27.27.37,10.128.20.59,UDP,1194,791696206,
openvpn-server,Lauren.P,2022.04.09 12:49:04 EDT,7302,VPN,0,1,172.16.246.50,10.128.20.231,UDP,1194,143294448,
openvpn-server,Charles.G,2022.04.09 13:25:46 EDT,5044,VPN,0,1,172.27.41.186,10.128.20.31,UDP,1194,1086169916,
openvpn-server,Anthony.E,2022.04.09 13:55:49 EDT,13751,VPN,0,1,172.31.40.188,10.128.20.94,UDP,1194,2450235686,
openvpn-server,Raymond.M,2022.04.09 14:25:02 EDT,10205,VPN,0,1,172.23.68.54,10.128.20.95,UDP,1194,803439650,
openvpn-server,Gregory.B,2022.04.09 14:59:19 EDT,,VPN,0,0,172.21.233.212,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Abigail.D,2022.04.09 15:14:18 EDT,4338,VPN,0,1,172.20.185.41,10.128.20.118,UDP,1194,589538538,
openvpn-server,Albert.X,2022.04.09 15:34:12 EDT,3331,VPN,0,1,172.22.42.150,10.128.20.64,UDP,1194,719755818,
openvpn-server,Jean.W,2022.04.09 15:55:42 EDT,13718,VPN,0,1,172.17.57.210,10.128.20.150,UDP,1194,2342499398,
openvpn-server,Grace.W,2022.04.09 16:19:08 EDT,3320,VPN,0,1,172.20.82.166,10.128.20.139,UDP,1194,16231480,
openvpn-server,Teresa.R,2022.04.09 16:57:50 EDT,2382,VPN,0,1,172.19.107.141,10.128.20.48,UDP,1194,421566360,
openvpn-server,Gregory.B,2022.04.09 17:10:05 EDT,3258,VPN,0,1,172.26.62.192,10.128.20.124,UDP,1194,891177030,
openvpn-server,Abigail.D,2022.04.09 17:23:16 EDT,5215,VPN,0,1,172.20.121.149,10.128.20.108,UDP,1194,1263453695,
openvpn-server,Raymond.M,2022.04.09 18:00:23 EDT,4668,VPN,0,1,172.26.184.241,10.128.20.59,UDP,1194,74085828,
